"","X","TimeCriteria","RecordID","Time","x","y","Label1","Label2","Label3","Label4","Planet","dis","rad","deg","postime","scorestate","biscorecounter","curstates","comstates","dis_trav"
"70",207,"1st Quarter",33,659,30,17,"Shot","Foul","",NA,"mars",1,-1.5707963267949,-90,9,1,0,9,9.1,110.306722337403
"71",214,"1st Quarter",35,715,35,16,"Shot","Score","",NA,"mars",4.12310562561766,-1.32581766366803,-75.9637565320735,3,2,1,10,10.2,96.3788370733758
"72",241,"1st Quarter",37,759,29,22,"Shot","Score","",NA,"mars",5.3851648071345,-0.380506377112365,-21.8014094863518,22,2,1,10,10.2,188.091687594629
"73",248,"1st Quarter",39,787,33,19,"Shot","Foul","",NA,"mars",2.82842712474619,0.785398163397448,45,5,1,0,9,9.1,89.5647094433064
"74",276,"1st Quarter",41,883,35,20,"Shot","Miss","",NA,"mars",5,0.927295218001612,53.130102354156,23,0,0,10,10,187.221083030154
"75",298,"1st Quarter",44,950,36,17,"Shot","Miss","",NA,"mars",5,1.5707963267949,90,15,0,0,10,10,160.921508480788
"76",308,"1st Quarter",47,986,10,17,"Shot","Miss","",NA,"mars",21,-1.5707963267949,-90,5,0,0,4,4,90.9038587188649
"77",311,"1st Quarter",48,992,30,21,"Shot","Miss","",NA,"mars",4.12310562561766,-0.244978663126864,-14.0362434679265,3,0,0,10,10,13.7792717443648
"78",331,"1st Quarter",50,1023,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,15,0,0,9,9,176.31187599324
"79",363,"2nd Quarter",56,62,33,18,"Shot","Score","",NA,"mars",2.23606797749979,1.10714871779409,63.434948822922,15,2,1,9,9.2,115.461992867188
"80",380,"2nd Quarter",63,182,34,18,"Shot","Miss","",NA,"mars",3.16227766016838,1.24904577239825,71.565051177078,4,0,0,9,9,77.5276802782278
"81",383,"2nd Quarter",64,206,45,30,"Shot","Miss","",NA,"mars",19.1049731745428,0.822418279271378,47.1210963966615,2,0,0,5,5,25.6344827144126
"82",406,"2nd Quarter",68,265,15,22,"Shot","Miss","",NA,"mars",16.7630546142402,-1.26791145841993,-72.6459753637387,6,0,0,4,4,120.178892908162
"83",438,"2nd Quarter",72,454,33,18,"Shot","Score","",NA,"mars",2.23606797749979,1.10714871779409,63.434948822922,9,2,1,9,9.2,81.1445145916088
